,male,female,id
ageCat1,454,454,zcta102
ageCat2,740,776, 
ageCat3,1822,2063, 
ageCat4,1761,1900, 
ageCat5,1668,1918, 
ageCat6,871,993, 
ageCat7,366,460, 
ageCat8,296,599, 
, , , 
ageCat1,1366,1392,zcta103
ageCat2,2508,2529, 
ageCat3,3928,3844, 
ageCat4,3558,3666, 
ageCat5,3179,3438, 
ageCat6,1215,1392, 
ageCat7,600,759, 
ageCat8,397,709, 
, , , 
ageCat1,1129,1093,zcta104
ageCat2,1913,1923, 
ageCat3,3245,3333, 
ageCat4,3192,3238, 
ageCat5,3527,3913, 
ageCat6,1515,1872, 
ageCat7,822,1111, 
ageCat8,643,1081, 
, , , 
ageCat1,1536,1434,zcta105
ageCat2,2948,2931, 
ageCat3,4415,4252, 
ageCat4,3656,3907, 
ageCat5,3941,4383, 
ageCat6,1736,2082, 
ageCat7,1153,1554, 
ageCat8,913,1506, 
, , , 
ageCat1,3420,3402,zcta106
ageCat2,6388,6110, 
ageCat3,9165,9550, 
ageCat4,6825,7303, 
ageCat5,5741,6654, 
ageCat6,2246,2704, 
ageCat7,1188,1637, 
ageCat8,636,1016, 
, , , 
ageCat1,1431,1345,zcta107
ageCat2,2586,2467, 
ageCat3,4009,3658, 
ageCat4,3054,2903, 
ageCat5,2562,2489, 
ageCat6,859,1037, 
ageCat7,459,593, 
ageCat8,303,466, 
, , , 
ageCat1,1052,1061,zcta108
ageCat2,1455,1315, 
ageCat3,4399,4866, 
ageCat4,3071,2860, 
ageCat5,2422,2723, 
ageCat6,1058,1406, 
ageCat7,616,871, 
ageCat8,602,1307, 
, , , 
ageCat1,1201,1119,zcta109
ageCat2,2047,1817, 
ageCat3,5139,5157, 
ageCat4,3502,3556, 
ageCat5,3190,3505, 
ageCat6,1469,1820, 
ageCat7,854,1117, 
ageCat8,414,721, 
, , , 
ageCat1,708,670,zcta110
ageCat2,1398,1288, 
ageCat3,2482,2248, 
ageCat4,1988,2008, 
ageCat5,2017,2233, 
ageCat6,838,940, 
ageCat7,406,519, 
ageCat8,194,332, 
, , , 
ageCat1,2297,2109,zcta111
ageCat2,4690,4440, 
ageCat3,7165,6650, 
ageCat4,5426,5512, 
ageCat5,5119,5676, 
ageCat6,2122,2507, 
ageCat7,1075,1531, 
ageCat8,624,919, 
, , , 
ageCat1,911,845,zcta112
ageCat2,2181,2124, 
ageCat3,2667,2562, 
ageCat4,2526,2794, 
ageCat5,2572,2780, 
ageCat6,821,832, 
ageCat7,357,399, 
ageCat8,139,245, 
, , , 
ageCat1,19,23,zcta113
ageCat2,72,70, 
ageCat3,96,58, 
ageCat4,86,87, 
ageCat5,123,106, 
ageCat6,64,49, 
ageCat7,23,31, 
ageCat8,8,19, 
, , , 
ageCat1,1114,1007,zcta114
ageCat2,2258,2114, 
ageCat3,3814,3898, 
ageCat4,3120,3520, 
ageCat5,4497,5486, 
ageCat6,2347,2780, 
ageCat7,1369,1620, 
ageCat8,901,1476, 
, , , 
ageCat1,603,554,zcta115
ageCat2,1108,1114, 
ageCat3,1720,1791, 
ageCat4,965,1088, 
ageCat5,826,917, 
ageCat6,300,369, 
ageCat7,167,212, 
ageCat8,74,116, 
, , , 
ageCat1,1545,1446,zcta116
ageCat2,2538,2513, 
ageCat3,4905,4967, 
ageCat4,4175,4301, 
ageCat5,3226,3730, 
ageCat6,1121,1273, 
ageCat7,452,556, 
ageCat8,228,317, 
, , , 
ageCat1,1296,1182,zcta117
ageCat2,1859,1801, 
ageCat3,3476,3857, 
ageCat4,3053,3134, 
ageCat5,1826,2118, 
ageCat6,665,742, 
ageCat7,261,358, 
ageCat8,102,169, 
, , , 
ageCat1,1697,1718,zcta118
ageCat2,2747,2489, 
ageCat3,3522,3777, 
ageCat4,5012,5276, 
ageCat5,2621,2988, 
ageCat6,1176,1391, 
ageCat7,439,596, 
ageCat8,175,312, 
, , , 
ageCat1,4,6,zcta119
ageCat2,19,16, 
ageCat3,18,20, 
ageCat4,21,20, 
ageCat5,46,46, 
ageCat6,35,30, 
ageCat7,11,11, 
ageCat8,6,6, 
, , , 
ageCat1,1769,1697,zcta120
ageCat2,3186,3117, 
ageCat3,4772,4727, 
ageCat4,3527,3498, 
ageCat5,3135,3295, 
ageCat6,1038,1161, 
ageCat7,499,634, 
ageCat8,259,450, 
, , , 
ageCat1,787,751,zcta121
ageCat2,1239,1152, 
ageCat3,2376,2488, 
ageCat4,1923,1949, 
ageCat5,1694,1896, 
ageCat6,645,917, 
ageCat7,440,531, 
ageCat8,243,417, 
, , , 
ageCat1,1464,1361,zcta122
ageCat2,2427,2255, 
ageCat3,3893,4075, 
ageCat4,3144,3263, 
ageCat5,2845,3200, 
ageCat6,923,1191, 
ageCat7,503,695, 
ageCat8,258,309, 
, , , 
ageCat1,1738,1672,zcta123
ageCat2,3963,3943, 
ageCat3,5135,5202, 
ageCat4,4648,5186, 
ageCat5,4357,4709, 
ageCat6,1282,1435, 
ageCat7,541,707, 
ageCat8,205,325, 
, , , 
ageCat1,588,592,zcta124
ageCat2,1404,1364, 
ageCat3,1714,1651, 
ageCat4,1728,1941, 
ageCat5,2516,2864, 
ageCat6,1271,1481, 
ageCat7,762,924, 
ageCat8,630,1017, 
, , , 
ageCat1,1316,1265,zcta125
ageCat2,2440,2267, 
ageCat3,3761,3625, 
ageCat4,2912,2786, 
ageCat5,3000,3063, 
ageCat6,1207,1251, 
ageCat7,699,790, 
ageCat8,325,607, 
, , , 
ageCat1,137,130,zcta126
ageCat2,144,136, 
ageCat3,526,285, 
ageCat4,150,169, 
ageCat5,28,20, 
ageCat6,3,3, 
ageCat7,0,1, 
ageCat8,0,0, 
, , , 
ageCat1,15,16,zcta127
ageCat2,30,27, 
ageCat3,41,41, 
ageCat4,44,39, 
ageCat5,78,87, 
ageCat6,39,45, 
ageCat7,31,17, 
ageCat8,12,16, 
, , , 
ageCat1,57,62,zcta128
ageCat2,139,138, 
ageCat3,166,138, 
ageCat4,173,178, 
ageCat5,319,323, 
ageCat6,201,179, 
