"","male","female","",""
"ageCat3","1.52743698754935","1","",""
"ageCat4","3.33710073710074","1.95832842609702","",""
"ageCat5","1.75732440904855","0","",""
"ageCat6","0.871658111757122","0.38572429663979","",""
"ageCat7","1.08097438869881","0.151368636795772","",""
"ageCat8","0","0.379096875180426","",""
"","","","",""
"ageCat1","0.996242003432673","0.998435193232014","relative.walk.speed",""
"ageCat2","0.998805549418522","0.998698572334737","",""
"ageCat3","0.99796605342207","1","",""
"ageCat4","0.999543744011131","0.998429576920178","",""
"ageCat5","0.998246939506223","0.998717492226735","",""
"ageCat6","0.999066707356722","0.999282780389706","",""
"ageCat7","0.998620751945853","0.998356302028369","",""
"ageCat8","0.998800991209389","0.998649233362197","",""
"","","","",""
"ageCat1","0","1.00049164208456","relative.cycle.speed",""
"ageCat2","1.00014461064437","1.00008361123543","",""
"ageCat3","1.00053594495141","1","",""
"ageCat4","1.00049164208456","1.00038997643655","",""
"ageCat5","1.00049164208456","0","",""
"ageCat6","1.00110732924892","1.00148124806091","",""
"ageCat7","1.00077079711863","1.00049164208456","",""
"ageCat8","0","1.00049164208456","",""
"","","","",""
"ageCat1","0","0","relative.walk.time","zcta16"
"ageCat2","3.29503318837263","0.449868089771235","",""
"ageCat3","1.32836721529786","1","",""
"ageCat4","0.459565117875944","1.06538490882734","",""
"ageCat5","0.253093317894794","1.29108491645685","",""
"ageCat6","2.7813000686656","1.83042866952228","",""
"ageCat7","1.38944838635843","0","",""
"ageCat8","1.50926985580224","0.164797436484321","",""
"","","","",""
"ageCat1","0.30871712415298","0","relative.cycle.time",""
"ageCat2","4.52540101833774","0.192512981085999","",""
"ageCat3","3.13979347860133","1","",""
"ageCat4","0","0.182126769010885","",""
"ageCat5","0.372925097453705","0.107413575284254","",""
"ageCat6","1.08809004249454","0.34888185204023","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.walk.speed",""
"ageCat2","1.0032707437421","0.998200219334449","",""
"ageCat3","1.00206422018349","1","",""
"ageCat4","1.00613667816654","1.0008203707743","",""
"ageCat5","0.997906277361148","1.0019309846802","",""
"ageCat6","1.00194052382252","1.00313824399933","",""
"ageCat7","1.00033097344731","0","",""
"ageCat8","1.00297601656218","1.00206422018349","",""
"","","","",""
"ageCat1","0.998491300222864","0","relative.cycle.speed",""
"ageCat2","0.999844122959839","1.00388319361904","",""
"ageCat3","0.999715775178854","1","",""
"ageCat4","0","1.00235727332009","",""
"ageCat5","1.00054969586192","0.996104779658638","",""
"ageCat6","1.00138163324719","1.0023724589409","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.261997983337072","0.31494089156729","relative.walk.time","zcta17"
"ageCat2","1.57664452890054","1.72109623093693","",""
"ageCat3","0.877809000882391","1","",""
"ageCat4","0.772312017950396","0.876265381420309","",""
"ageCat5","0.808723990889435","0.897161811052725","",""
"ageCat6","0.648694950286768","0.734870336757595","",""
"ageCat7","0.732856784754864","0.722849764056947","",""
"ageCat8","0.556231928715363","0.484599166185253","",""
"","","","",""
"ageCat1","0.318845695451894","0.248075673721897","relative.cycle.time",""
"ageCat2","2.16910140407299","1.49098297146045","",""
"ageCat3","1.79124013100448","1","",""
"ageCat4","1.22988554704708","0.588291447931111","",""
"ageCat5","1.08637167980788","0.339632643640413","",""
"ageCat6","0.728689406246583","0.273568804232079","",""
"ageCat7","0.913781818852635","0.529568194449477","",""
"ageCat8","0.963796807029712","0.367134786065222","",""
"","","","",""
"ageCat1","1.00027397241806","1.00036285314237","relative.walk.speed",""
"ageCat2","1.00027323270768","1.00003111831587","",""
"ageCat3","1.00022264141312","1","",""
"ageCat4","1.00035257989128","1.00039975209618","",""
"ageCat5","1.00038363729276","1.00024704808631","",""
"ageCat6","1.00037752628856","1.00035438358502","",""
"ageCat7","1.00034640512115","1.00018936868209","",""
"ageCat8","1.00065166289407","1.00001296147854","",""
"","","","",""
"ageCat1","1.0001956702687","1.0005419533232","relative.cycle.speed",""
"ageCat2","1.00004021269194","1.00017496087855","",""
"ageCat3","1.00010276193315","1","",""
"ageCat4","1.00006382025816","0.999892127702283","",""
"ageCat5","0.999932984801005","1.00008639817238","",""
"ageCat6","1.00000517481901","0.999633511306782","",""
"ageCat7","1.00016493009751","1.00040286026429","",""
"ageCat8","1.00038560663424","1.000016616264","",""
"","","","",""
"ageCat1","0","0.857578736236702","relative.walk.time","zcta18"
"ageCat2","1.02193131693974","3.86297283639154","",""
"ageCat3","2.35026220961261","1","",""
"ageCat4","0.494897434176677","1.64343079010227","",""
"ageCat5","1.09914526785878","0.728730678015104","",""
"ageCat6","1.08297269405288","1.38417563339189","",""
"ageCat7","2.94202888735657","0.406533719007813","",""
"ageCat8","0.376558010139649","1.02296146301125","",""
"","","","",""
"ageCat1","2.82353299084697","0.559474803081876","relative.cycle.time",""
"ageCat2","5.02234508232524","1.62444661404274","",""
"ageCat3","0.853687949750715","1","",""
"ageCat4","0.123217974607154","2.66765593597603","",""
"ageCat5","3.9068310006267","1.21490510964663","",""
"ageCat6","3.62908667401227","0","",""
"ageCat7","0.25107372670616","0.612595197967346","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0.999626235125273","relative.walk.speed",""
"ageCat2","0.999712483680445","1.00056440586645","",""
"ageCat3","0.999979835990915","1","",""
"ageCat4","1.00053651104765","1.00032131296264","",""
"ageCat5","0.999645381382232","0.999901469449813","",""
"ageCat6","1.00073064206992","1.00032205791716","",""
